num, desc
0, 神在與你說話。當你看到數字零，表示無始無終的Ω（歐米加）無限迴圈的朕兆。神會再度用確定的字句或神聖的指引得到你的注意。
1, 保持正向。你現在所想的每件事都正在成真，所以請確認只想著你所要的。將任何的恐懼交給神與天使。
2, 一切安好並會持續如此。尤其當你感到充滿希望時，正向的結果便會產生，請保持信任。如果你祈求天使的協助，他們會提振你的信心。
3, 揚升大師們---通常指的是你感覺靠近的揚升大師---例如：耶穌、觀音、聖者或是其他靈性/宗教的上師，他們正在協助你。
4, 天使與你同在。他們傳送數字4給你，請你放心，他們已經聽到你的祈禱並正在協助你。
5, 一個重要的改變正在發生，這總是為了邁向更美好之境，在經歷生命改變時，祈求上天的協助不失為一個好點子。
6, 對於物質方面，包括錢，不必擔憂或感到困擾。擔憂會降低你祈禱的效果。幸運的是，你若祈求天使的協助，他們會回應你的祈禱。
7, 你正走在正確的道路上，並會得到超乎你預期的結果！數字7是神聖魔法正支持你並為你開啟機會大門的朕兆。
8, 數字8代表豐盛與富足。在此數位鐘的無限符號代表金錢、時間、點子，或者其他你所需的一切都有諸如無限之流的供應（特別是為了你的生命目的）。
9, 光的工作者，現在就起身而行！數位9意味著你以完全完成實現你生命目的所需的準備。停止拖延，是開始採取行動的時候了，即使是一小步都會有所説明。
10, 神要你對這情況保持正向的想法。因為所有一切會以你最高的益處而得到結局。祈求神幫助你保持樂觀，因為你的想法對結果具影響力。
11, 保持正向！你的想法正迅速的成真，所以你會想透過事專注你自己，他人與這情況當中的美善，以確保有正向的結果。
12, 讓你的想法對你的未來保持正向，因為你所想的會影響你的未來，這訊息請你持續保有強烈的信心與希望，因為這些是現在強而有力的決定因素。
13, 揚升大師們（例如, 耶穌、觀音等等）與你同`在，並協助你持有正向的願景。數字13也代表女性的揚升大師與女神正幫助你保持正向。
14, 可以倚靠天使幫助你保持正向的願景，這也會協助你自己的行為舉止樂觀開朗。
15, 當你經歷生命中的轉變時，保持正向。你樂觀的想法，幫助你讓這些改變最佳的結果能成真。
16, 你的話語具正向的吸引力，會吸引你所談論與所想的人事物，因此，天使提醒你留意你的話語和想法。
17, 因為你保持正向與樂觀，天使們為你鼓掌。他們說你的樂觀是有保證的，因為你的肯定想法正在成真。你正走在正確的道路上，繼續保持下去！
18, 你的想法是開啟與光比你財務之流的閥門。當你保持正向，所有你所需的物質來源都會輕易的流向你。但是，擔憂會停止這流動，所以祈請天使幫助你保持樂觀，特別是與金錢有關的部分。
19, 這訊息要你相信你自己與你的生命目的。天使要你知道你資格具足並已準備好去實現你的夢想。保持正向，不再拖延，並採取行動。
20, 你與造物主有深層與清晰的連結。神讓你的心與頭腦充滿信心（如果你想要，也可以祈求上天的協助）。你的信任現在正得到回報。
21, 你的樂觀當然會得到十足的保證！天使在這當下正在幕後協助你。保持正向的肯定語和相信你的夢想已成真，你便協助了天使的工作。
22, 天使能看到你祈禱的正向結果，而當最終結果的細節仍在上天解決的過程中時，他們要你有耐心並保持樂觀。這是來自天使要你【保持信任】的緊急來電！
23, 你與一位或者多位的揚升大師緊密合作，例如： 耶穌、摩西、眾聖者或女神。這訊息來自揚升大師的指引，他們看到對你祈禱的回應近在咫尺，他們鼓勵你保持正向，確保你吸引到最佳的可能結果。
24, 更多的天使現在正包圍著你，他們幫助你無論發生何事，仍然能保持樂觀。天使知道信任的神奇力量，他們協助你釋放任何負向的想法與情緒，為實現你所想要的一切帶來清楚的道路。
25, 當你經歷主要的生命改變時，期待最好的，而你的樂觀會得到回饋。
26, 正向的肯定語説明你的情況迅速改善。天使督促你只觀想與談論你所想要的，而不是去強調你的恐懼，因為這些只是幻像。
27, 恭喜！你的樂觀正吸引美好的情況與關係。保持正向，因為這態度正以對你有利的方式在運作。
28, 當你完全信任你、你所愛的人以及你美好的生命目的完全為上天支援時，錢就會來到你身上。
29, 對於你的生命目的保持正向，將你所有的專注投入在運用天賦、熱情與興趣的服務上。
30, 神與揚升大師完全支持你。充滿信心的朝你的夢想之境向前邁進！
31, 揚升大師請你看穿所有人世間的幻像，並看到在你、其他人與目前情境之內的神聖完美，當你看到在你心智中的神聖完美，它會向外顯化在你的關係、工作、健康與生活的其他領域中。
32, 揚升大師耶穌提醒你，現在就在你自己的生活中運用他對於信心力量的肯定語（【有信心，萬事皆可能】）。
33, 你與一位或者多位的揚升大師有深層且清晰的連結，他們已回應你的呼請與祈禱。持續與他們對話，因為他們正協助你目前的情況。
34, 天使與揚升大師們現在與你同在並已聽見與回應你的祈禱。
35, 透過揚升大師們的協助，你即將有一個正向的改變。
36, 揚升大師們請你將想法專注於靈性，並將任何對物質面的擔憂交給他們。
37, 你正走在正確的道路，一路上揚升大師們會鼓勵與幫助你。
38, 揚升大師們正協助你的財務狀況。
39, 你正被揚升大師們所協助，他們強烈鼓勵你現在就開始從事你的生命目的。
40, 神與天使以天堂的愛與保護包圍著你。
41, 天使請你保持非常正向的想法，因為你所說與所想的每件事都迅速的成真。
42, 天使督促你保持信任！
43, 天使與揚升大師們現在正在協助你。花時間在安靜的冥想中與他們連結，你會因為他們安慰鼓舞的臨在而感到平靜，這將告訴你一切安好。
44, 天使們現在正給你更多的安慰、愛與支持。祈求他們對一切的協助，並透過你的直覺聆聽他們的指引。
45, 天使們正幫主你穿越一個正向的生命改變。
46, 天使們正對你說：【對一切事物，將你的想法專注靈性自我與神聖的源頭。將任何物質的擔憂交給我們】。
47, 天使們說你正走在正確的道路上，繼續保持下去！
48, 天使已聽見你對於金錢的祈禱，他們已回應你。
49, 天使們督促你不要遲疑，開始從事你的主要目標與生命目的、祈求他們幫主你得到點子、勇氣與動力。
50, 神正在協助你以健康的新方式改變你的生活。
51, 對於你正渴望與經歷的改變保持正向想法。
52, 對於你正考慮或經歷的改變有信心，其結果會變得更好。
53, 揚升大師們正在協助你以正向的方式改變你的生命。對於這些情況的任何方面，例如：更多的點子、機會、勇氣等，祈請他們的協助。
54, 天使們正指引與支持你，在生命中做出正健康必要的改變。
55, 這是一段【離開就有，迎接嶄新】的時期。歡迎這些改變，因為他們帶來新的祝福。
56, 當你經歷家庭生活、職業與關係的轉變時，持續專注與你內在的靈性成長。在你所經驗的每個改變中發現祝福。
57, 你所經驗的改變是為了最高的益處。信任這些改變會引領你邁向你所想去的地方。
58, 你的財務狀況正在改善，而你的財富之流將有一個正向的改變。這可能代表工作的晉陞或是職業的轉換，而薪水也會隨之增加。
59, 你所經驗的改變帶領你更接近神聖的生命目的。花時間從事與你靈性興趣有關的活動，可以平息你的焦慮。
60, 你在靈性與物質之間搖擺。這數字在提醒你的焦點，永遠記得靈性是你的根源與你生命中每件事背後的力量。
61, 對你的物質生活（例如：家庭、工作、身體與財產），專注於非常爭先的焦點，你的想法正影響你的生活，所以只想你所想要的而非你的恐懼。
62, 繼續相信你生活的細節都以奇蹟般方式獲得解決。你的信任會打開奇蹟的大門！
63, 揚升大師們協助你每日生活的各方面，祈請他們的幫忙，不論是點子、指引或出乎意料之外的禮物。
64, 你生活的各方面都受到天使的全面的支持。將任何恐懼與擔憂交給天使，並為你現在所需的任何協助祈請他們。
65, 恭喜你正在生命中創造正向改變。這是你在家庭、工作或在關係中做改變的良機。追隨你內在的真理。
66, 當你因擔憂，壓力或恐懼而感到沉重時，比較難聆聽你的天使充滿愛的協助。這是個請你花時間祈禱與靜心的訊息。祈求靈性上的介入協助，並敞開你的雙臂接受隨祈禱而來的協助。
67, 做得好！你在家庭與工作上都走在正確的道路上。
68, 記得神是你收入的來源。擔心不會協助你的財務，而祈禱會在你生活中的各方面幫助你。
69, 當時你花時間參與活動和你的靈性熱情及請去相關的活動時，你生命的各方面都自動得到改善。
70, 這是來自神的訊息，告訴你你正走在正確的道路上。做得好，繼續加油。
71, 你正在你的渴望顯化實現的道路上。只需要保持正向與樂觀，你所有的夢想都已在等著你。
72, 信任你採取正確的步驟使你所渴望的夢想成真……因為你的確如此！
73, 揚升大師正引導你，而你正準確聆聽他們的指引。繼續走在你目前的道路上，因為它被許多祝福與禮物所照亮。
74, 天使包圍著你，並在你道路上的每一部陪在你身邊。你走在夢想實現的快速道路上。所以堅持你現在的想法與參與的活動。
75, 你正經歷或思考要做的改變，對你是完全正確的。
76, 你正走在正確的道路上，你的物質所需，透過你的選擇與行動而得到完全的支持。
77, 做得很好，請繼續保持！你現在所做的每件事都能點石成金！
78, 你目前的焦點與行動已接上宇宙豐盛的財富之流。堅持你目前的計畫，因為他們正中目標。
79, 關於你神聖的生命目的，你走在正確的道路上。
80, 神在各方面支持你，包括你的財務生活。放下，並讓神來協助你。
81, 你對金錢越保持正向，你的財務之流就有越多的流動。
82, 相信你的財務狀況正受到照料。將任何的擔憂交給神與天使們。
83, 揚升大師聽見並回應你關於財務所需的祈禱。
84, 天使們正幫助你增加財富之流，好讓你達到安全與豐盛的狀態。
85, 太好了！你正經驗財務狀況的正想改變。
86, 讓你對金錢的想法以靈性為基礎，並釋放世間歲財務的擔憂。你的想法保持越高的能量，你的財富之流就會越豐盛。
87, 關於你的職業與財務，你已走在正確的道路上。繼續加油！
88, 這對你的財務是個非常幸運而有力的吉兆。你的行動、祈禱、觀想與願化的努力已吸引大量豐盛的流入，敞開你的雙臂去迎接吧！
89, 你的神聖生命目的是開啟豐盛大門的關鍵。每日採取一些步驟，（從現在開始）投入與你靈性的熱情與興趣有關的領域。這些領域是你的神聖生命目的的基礎
90, 神召喚你不再拖延，從事你神聖的生命任務，你已準備好！今天就採取行動，從事與你靈性興趣相關的事情。
91, 對你的神聖生命目的保持正向與樂觀。你和你的任務在這世界是被需要的。
92, 當你保持信任，知道你生命目的有關的一切，都會完美的展現時，你就會更清楚的開間並瞭解哪些是你能採取的最佳的步驟。
93, 揚升大師正引導、保護、支持著你、因為你已聆聽到他們的指引（即使是在潛意識中），你現在正走在夢想與生命目的的開花結果的正確道路上。
94, 你的行動是被天使所指引與支持的，他們說你做得很好---繼續保持！
95, 你目前考慮所做的改變，正帶領你朝向生命目的實現的正確方向。
